 4.112,-0.093, 0.147,-0.000, 0.000,-0.750,-0.250,-0.000,-0.000, 0.000,-0.000,-0.000,-0.000, 0.000,-0.000,-0.242, 0.200,-0.750, 0.250,-1.000,-0.000, 0.000,-0.000, 0.000, 0.000,-0.000, 0.000, 0.000, 0.000,-0.000, 0.000, 0.000,-0.000, 0.000,-0.000, 0.000,-0.000,-0.000,-0.000
-0.093, 4.133,-0.869, 0.000,-0.000,-0.250,-0.750,-0.000, 0.000,-0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.038,-0.104, 0.250,-0.750,-0.000,-1.000,-0.000,-0.000,-0.000,-0.000, 0.000, 0.000,-0.000, 0.000, 0.000, 0.000,-0.000, 0.000,-0.000, 0.000,-0.000,-0.000, 0.000,-0.000
 0.147,-0.869, 4.810,-0.000, 0.000,-0.500, 0.500, 0.000, 0.000, 0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.043,-0.249, 0.500, 0.500, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000,-0.000,-0.000, 0.000,-0.000,-0.000,-0.000, 0.000,-0.000, 0.000, 0.000, 0.000, 0.000,-0.000,-0.000
-0.000, 0.000,-0.000, 1.939,-0.175,-0.681,-0.003,-0.137, 0.212,-0.024,-0.057,-0.086, 0.033,-0.046, 0.077,-0.011, 0.003,-0.020, 0.006,-0.028,-0.019,-0.285,-0.046,-0.066, 0.072,-0.063,-0.064,-0.113, 0.071,-0.021, 0.071,-0.012, 0.004,-0.023, 0.007,-0.031,-0.018, 0.003,-0.054
 0.000, 0.000, 0.000,-0.175, 2.323,-0.191,-0.391, 0.208,-0.351, 0.057,-0.210,-0.039,-0.041, 0.040,-0.041, 0.002, 0.007,-0.014,-0.040,-0.041,-0.028,-0.080,-0.190, 0.092,-0.149, 0.063,-0.241,-0.021,-0.038, 0.021,-0.038, 0.002, 0.007,-0.014,-0.040,-0.041,-0.028, 0.044,-0.227
-0.750,-0.250,-0.500,-0.681,-0.191, 3.359, 0.712,-0.179,-0.026,-0.058,-0.100,-1.373,-0.231,-0.149, 0.282,-0.037, 0.001,-0.051, 0.008,-0.073,-0.094,-0.060,-0.015,-0.022, 0.024,-0.020, 0.012,-0.000, 0.000,-0.000, 0.000,-0.008, 0.006,-0.025,-0.004,-0.039,-0.016,-0.024,-0.103
-0.250,-0.750, 0.500,-0.003,-0.391, 0.712, 3.952, 0.016,-0.864,-0.105,-0.167,-0.213,-0.899, 0.180,-0.398,-0.007,-0.000,-0.013,-0.104,-0.072,-0.146,-0.016,-0.063, 0.004,-0.025,-0.007,-0.041,-0.000, 0.000,-0.000,-0.000,-0.002, 0.012,-0.028,-0.024,-0.054,-0.011,-0.078,-0.183
-0.000, 0.000, 0.000,-0.137, 0.208,-0.179, 0.016, 2.201,-0.252,-0.296, 0.099,-0.200,-0.285,-0.790,-0.037,-0.018,-0.076,-0.000, 0.000,-0.000, 0.000,-0.025, 0.002,-0.000, 0.000, 0.000,-0.000,-0.000,-0.000, 0.000, 0.000,-0.010, 0.010,-0.034, 0.022,-0.040, 0.017,-0.211, 0.107
-0.000, 0.000,-0.000, 0.212,-0.351,-0.026,-0.864,-0.252, 2.656,-0.005,-0.163,-0.210,-0.468, 0.257,-0.440,-0.009,-0.011, 0.000,-0.000, 0.000,-0.000, 0.024,-0.025,-0.000,-0.000, 0.000, 0.000,-0.000, 0.000, 0.000, 0.000, 0.005, 0.006,-0.009,-0.030,-0.028,-0.012,-0.010,-0.181
 0.000,-0.000,-0.000,-0.024, 0.057,-0.058,-0.105,-0.296,-0.005, 0.647, 0.057,-0.028,-0.041,-0.050,-0.020,-0.002,-0.006, 0.000,-0.000, 0.000,-0.001,-0.000,-0.000, 0.000,-0.000, 0.000,-0.000, 0.000,-0.000, 0.000,-0.000, 0.000,-0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
